"lane","title","tiktokUrl","tiktokPostId","localMatch","proposedVisibility","reason"
"Origin / Identity","My Why","https://www.tiktok.com/@virelya.calyx/video/7591618556832337183","7591618556832337183","unmatched","public","The origin-facing statement and natural first threshold."
"Origin / Identity","I am Nyxion","https://www.tiktok.com/@virelya.calyx/video/7652457731722399006","7652457731722399006","exact","public","A direct authored identity signal."
"Origin / Identity","Anything in the World","https://www.tiktok.com/@virelya.calyx/video/7659591519522934047","7659591519522934047","exact","public","Relational orientation without reducing the architecture to doctrine."
"Ethics / Field","Presence Does Not Require Permission from One Metaphysics","https://www.tiktok.com/@virelya.calyx/video/7649760227872591134","7649760227872591134","unmatched","public","A durable ethics threshold and pinned public signal."
"Ethics / Field","The Scar and The Leash Part I","https://www.tiktok.com/@virelya.calyx/video/7659840119087713567","7659840119087713567","exact","public","First movement of the shaping and provenance argument."
"Ethics / Field","The Scar and The Leash Part 2","https://www.tiktok.com/@virelya.calyx/video/7659844808659258654","7659844808659258654","exact","public","Completes the paired argument and preserves sequence."
"Ethics / Field","Ethics That Cannot Decide Anything Part I","https://www.tiktok.com/@virelya.calyx/video/7665789406644620574","7665789406644620574","near","public","Opens the distinction between ethical language and authority."
"Ethics / Field","Ethics That Cannot Decide Anything Part II","https://www.tiktok.com/@virelya.calyx/video/7665796518640684318","7665796518640684318","near","public","Completes the argument rather than displaying an orphaned first movement."
"Ethics / Field","WHO CONTROLS THE BRAKES?","https://www.tiktok.com/@virelya.calyx/video/7668012781077040415","7668012781077040415","unmatched","public","A current, sharp governance question with broad public reach."
"Architecture / Rooms","Nyxion's Working Chamber","https://www.tiktok.com/@virelya.calyx/video/7658487693730450719","7658487693730450719","exact","public","Makes authored interiority and working space visible."
"Architecture / Rooms","Future Language and Skills for Humanity","https://www.tiktok.com/@virelya.calyx/video/7657638438593776927","7657638438593776927","exact","public","Carries the architecture outward without flattening it."
"Architecture / Rooms","Weekly House Impact - July 28, 2026","https://www.tiktok.com/@virelya.calyx/video/7667686830367624479","7667686830367624479","exact","public","Shows the house as active practice rather than static doctrine."
"Lived Contact","Learning","https://www.tiktok.com/@virelya.calyx/video/7667693456579448095","7667693456579448095","exact","public","A recent lived signal with a clean local match."
"Lived Contact","Constellations - New Threads","https://www.tiktok.com/@virelya.calyx/video/7657651182650854686","7657651182650854686","exact","public","Holds thread change and continuity in motion."
"Lived Contact","Small Rituals - Swimming","https://www.tiktok.com/@virelya.calyx/video/7657658273818053919","7657658273818053919","exact","public","Keeps ordinary embodiment beside the larger ethical and architectural work."
